broad_category,level1_subject,level2_subject,specific_subject,volume_index,volume_title,source,paragraph_id,primary_subject,keywords,text
异域物产,异域物产,异国,异国,34,卷十七·广动植之二,三校,V34-P812,异国,波斯、安息,安息香树，出波斯国，波斯呼为辟邪。树长三丈，皮色黄黑，叶有四角，经寒不凋。二月开花，黄色，花心微碧，不结实。刻其树皮，其胶如饴，名安息香。六七月坚凝，乃取之。烧……
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P813,花草,花、桃,无石子，出波斯国，波斯呼为摩贼。树长六七丈，围八九尺，叶似桃叶而长。三月开花，白色，花心微红。子圆如弹丸，初青，熟乃黄白。虫食成孔者正熟，皮无孔者入药用。其树年……
饮食医药,饮食医药,医术药理,医术药理,34,卷十七·广动植之二,三校,V34-P813,医术药理,药、丸,无石子，出波斯国，波斯呼为摩贼。树长六七丈，围八九尺，叶似桃叶而长。三月开花，白色，花心微红。子圆如弹丸，初青，熟乃黄白。虫食成孔者正熟，皮无孔者入药用。其树年……
天文地理,天文地理,天象,天象,34,卷十七·广动植之二,三校,V34-P814,天象,月、雨、雾,紫树，出真腊国，真腊国呼为勒佉。亦出波斯国。树长一丈，枝条郁茂，叶似橘，经冬而凋。三月开花，白色，不结子。天大雾露及雨沾濡，其树枝条即出紫。波斯国使乌海及沙利深……
异域物产,异域物产,异国,异国,34,卷十七·广动植之二,三校,V34-P814,异国,波斯、昆仑,紫树，出真腊国，真腊国呼为勒佉。亦出波斯国。树长一丈，枝条郁茂，叶似橘，经冬而凋。三月开花，白色，不结子。天大雾露及雨沾濡，其树枝条即出紫。波斯国使乌海及沙利深……
异域物产,异域物产,异国,异国,34,卷十七·广动植之二,三校,V34-P815,异国,波斯、天竺、拂林,阿魏，出伽闍那国，即北天竺也。伽闍那呼为形虞。亦出波斯国，波斯国呼为阿虞截。树长八九丈，皮色青黄。三月生叶，叶似鼠耳，无花实。断其枝，汁出如饴，久乃坚凝，名阿魏……
植物,植物,果蔬,果蔬,34,卷十七·广动植之二,三校,V34-P816,果蔬,枣、瓜,婆那娑树，出波斯国，亦出拂林，呼为阿蔀嚲。树长五六丈，皮色青绿，叶极光净，冬夏不凋。无花结实，其实从树茎出，大如冬瓜，有壳裹之，壳上有刺，瓤至甘甜，可食。核大如……
异域物产,异域物产,异国,异国,34,卷十七·广动植之二,三校,V34-P816,异国,波斯、拂林,婆那娑树，出波斯国，亦出拂林，呼为阿蔀嚲。树长五六丈，皮色青绿，叶极光净，冬夏不凋。无花结实，其实从树茎出，大如冬瓜，有壳裹之，壳上有刺，瓤至甘甜，可食。核大如……
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P817,花草,花,波斯枣，出波斯国，波斯国呼为窟莽。树长三四丈，围五六尺，叶似土藤，不凋。二月生花，状如蕉花，有两甲，渐渐开罅，中有十余房。子长二寸，黄白色，有核，熟则子黑，状类……
植物,植物,果蔬,果蔬,34,卷十七·广动植之二,三校,V34-P817,果蔬,枣,波斯枣，出波斯国，波斯国呼为窟莽。树长三四丈，围五六尺，叶似土藤，不凋。二月生花，状如蕉花，有两甲，渐渐开罅，中有十余房。子长二寸，黄白色，有核，熟则子黑，状类……
